Boundary ID,System Name,Boundary Type,System Type,Population Served,Connections,Census Population Allocated,Arsenic (ppb),Hexavalent Chromium (ppb),Cadmium (ppb),DBCP (ppb),Lead (ppb),Nitrate (ppm),Perchlorate (ppb),PCE (ppb) ,TCE (ppb),TCP (ppb),TTHMs (ppb),"Combination Radium 226, 228 (PCI/L)",Uraniuim (PCI/L)
103040,Norris Canyon Property Owners Assn.,System,C,100,19,92,0,,0,,0,14.063,0,0,0,0,0,,
103041,Trailer Haven Mobile Home Park,System,C,240,194,185,3.433,,0,,0,12.719,0,0,0,0,0,,
105008,Castlewood Domestic Water System,System,C,499,194,223,0,,0,0,0,13.3,0,0,0,0,0,,3.425
110001,Alameda County Water District,System,C,340000,80871,323118,0,0,0,0,0,1.907,0,0,0,0,17.425,,0.707
110003,California Water Service - Livermore,System,C,56700,18043,66601,0.075,3.192,0,0,0,16.925,0.333,0.055,0,0,10.856,,0.822
110005,East Bay Mud,System,C,1379000,380450,1280969,0,,0,0,0,1.431,0,0,0,0,17.708,0,0.707
110006,City Of Hayward,System,C,146398,31678,175941,0,,0,0,0,1.414,0,0,0,,16.577,,0.707
110008,City Of Pleasanton,System,C,73067,21882,66357,0.075,0,0,0,0,12.906,0,0,0,0,8.902,,0.822
110009,Dublin San Ramon Services District,System,C,75924,19011,68812,0.15,0,0,0,0,10.882,0,0,0,0,17.492,,0.937
110011,City Of Livermore,System,C,27600,9516,14906,0.15,0,0,0,0,10.882,0,0,0,0,17.492,,0.937
110012,Town Of Sunol-Sfpuc,System,C,450,128,237,0,,0,0,0,1.414,0,0,0,,16.577,,0.707
110016,Alameda Point,System,C,750,349,1400,0,,0,0,0,1.421,0,0,0,,,,0.707
202503,Woodfords Mutual Water Company,System,C,50,16,11,0,,0,,0,1.414,,,,,,,
202504,Markleeville Water Co.,System,C,25,167,1,5.13,,0,0,0,1.414,0,0,0,0,0,,1.499
202522,Sierra Pines Mobile Home Park,System,C,70,31,168,0,,0,,0,1.414,0,0,0,,0,,
210001,Lake Alpine Water Company,System,C,2650,490,65,0,,0,0,0,1.414,0,0,0,0,53,,
210002,Kirkwood Meadows Pubilc Utilit,System,C,101,886,121,0,,0,,0,1.414,0,0.034,0.014,0,2.91,,2.155
300010,Drytown County Water District,System,C,225,62,95,0,,0,,0,1.414,,0,0,0,40,,0.707
300011,Sutter Pines Mhp,System,C,40,19,14,1.1,,0,0,0,1.846,0,0,0,0,0,10.96,2.45
300016,Volcano Community Service Dist,System,C,160,80,39,0.767,,0,,0,2.224,0,0,0,0,0,,
300019,Fiddletown Community Service,System,C,100,65,38,,,,,,1.414,0,,,,,,2.499
300024,Tabeau Mobile Home Park,System,C,80,22,5,0,,0,,0,1.481,0,0,0,0,0,,
300037,Jackson Valley Irrigation District,System,C,2000,190,2,0,,0,0,0,1.707,,,,,,,
300053,Rancho Del Oro,System,C,34,24,1,0,,0,,0,6.689,0,0,0,,0,,
300062,Hope Foundation/Moriah Heights,System,C,30,22,6,0,,0,0,0,2.562,0,0,0,0,0,,
300078,Ione Band Of Miwok Indians,System,C,62,20,4,,,,,,1.414,0,,,,,,
310001,City Of Jackson,System,C,5223,2129,4513,0,,0,,0,1.414,,0,0,0,41.5,,0.707
310002,"Awa, Ione",System,C,5339,1971,7934,0,,0,0,0,1.414,0,0,0,0,34,,
310003,"Awa, Sutter Creek",System,C,5700,1609,3908,0,,0,,0,1.414,,0,0,0,40,,0.707
310004,"Plymouth, City Of",System,C,1060,479,962,0,,0,0,0,1.414,0,0,0,0,20,,0.707
310005,Pine Grove Comm Serv Dist,System,C,846,360,2213,0,,0,0,0,1.414,0,0,0,0,63.5,,
310006,River Pines Pud,System,C,510,219,311,0,,0,0,0,2.2,0,0,0,0,5,,8.709
310008,Camanche North Shore Inc.,System,C,255,211,22,0,,0,,0,1.414,0,0,0,,,,0.707
310011,First Mace Meadow # 1,System,C,838,337,1410,0,,0,0,0,1.414,0,0,0,0,100,,
310012,Awa Buckhorn Plant,System,C,8800,2400,2815,0,,0,0,0,1.414,0,0,0,0,100,,
310015,Rabb Park Community Ser. Dist.,System,C,268,108,369,0,,0,0,0,1.414,0,0,0,0,88.5,,
310018,First Mace Meadows Unit No. 2,System,C,200,81,315,0,,0,0,0,1.414,0,0,0,0,100,,
310019,Awa La Mel Heights #3,System,C,195,57,3,0,,0,0,0,1.414,0,0,0,0,0,,
310020,The Oaks Mobile Home Park,System,C,600,213,190,0.233,,0,0,20,1.414,0,0,0,0,16.92,,
310021,Amador County Service Area #3/Unit 6,System,C,2386,733,1218,1.383,,0,0,0.424,8.904,0,0,0,0,0,,
400001,Youth With A Mission-Springs Of Living W,System,C,150,49,0,0,,0,,4.5,1.699,0,0,0,0,0,,
400003,Hartley Mutual Water System,System,C,31,16,4,0,,0,,0,3.575,0,0,0,0,0,,
400004,Forest Ranch Mutual Water System,System,C,92,42,15,0,,0,,0,1.414,0,12.469,0,0,0,,
400007,Butte Creek Estates Mutual Water Co,System,C,399,168,432,0,,0,,0,1.518,0,0,0,0,0,,
400008,Gran Mutual Water Co,System,C,200,85,120,0,,0,,0,1.414,0,0,0,0,0,,
400012,Farm Labor Housing,System,C,460,144,547,0,,0,,0,1.442,0,0,0,0,0.25,,
400013,Merry Mountain Mutual,System,C,100,97,39,0.417,,0,,0,1.458,0,0,0,0,0.267,,
400014,Lake Madrone Water District,System,C,297,115,28,0,,0,,0,1.414,0,0,0,0,0,,
400016,Berry Creek Community Service Dist,System,C,99,36,23,0,,0,,1.767,1.767,0,0,0,0,0,,
400019,Oroville Mobile Home Park,System,C,74,35,42,0,,0,,0,2.844,0,0,0,0,0,,
400020,Pleasant Grove Mhp,System,C,327,88,125,0,,0.875,,0,20.275,0,0.574,0,0,0,,
400021,Robinson'S Corner Mhp,System,C,20,22,0,8.366,,0,,13.6,10.497,0,0,0,0,0,,
400023,Golden Oaks Mobile Estates,System,C,34,52,40,0,,0,,,24.713,0,0,0,0,0,,
400025,Sundown Mobile Home Park,System,C,76,53,54,0,,0,,25.2,6.075,0,0,0,0,0,,
400026,Meadowbrook Oaks,System,C,50,25,5,0,,0,,0,1.611,0,0,0,0,0,,
400027,Foothill Mobile Home Park,System,C,180,127,235,2.334,,0,,11.4,3.149,0,0,0,0,0,,
400028,Big Bend Mobilehome Park,System,C,85,35,1,0,,,,,1.587,0,0,0,0,4.65,,
400030,Golden Feather Mhp,System,C,275,100,100,0,,0,,,6.712,0,0,0,0,0.95,,
400036,Mountain View Mobile Acres Mhp Llc,System,C,230,129,124,0,,0,,0,29.976,0,0,0,0,0,,
400037,Harmony Mobile Home Park,System,C,55,30,74,0,,0,,,45.518,,,,,,,
400040,Almond Grove Mobile Park,System,C,250,163,138,0,,0,,0,29.532,0,0,0,0,0,,
400041,Forest Ranch Mobile Park,System,C,25,16,9,0,,0,,0,6.051,0,0,0,0,0,,
400042,Forest Village Llc,System,C,34,21,2,0,,0,,4.2,1.418,0,0,0,0,0,,
400045,Cohasset Mobile Estates,System,C,20,17,6,0,,0,,0,6.474,0,0.3,0,0,0,,
400046,Ponderosa Mobile Estates,System,C,70,62,46,0,,0,,0,8.64,0,,,,1.9,,
400049,Butte Creek Mhp,System,C,100,33,5,9.293,,0,,0,2.124,0,0,0,0,0,,
400051,Dingerville Usa Park,System,C,447,80,3,0,,0,,0,2.777,0,0,0,0,0,,
400078,Forest Knolls Mutual Water Co,System,C,41,16,10,0,,0,,0,1.414,0,0,0,0,0,,
400081,Feather Ridge Estates Water Co,System,C,12,32,1,0,,0,,0,1.645,0,0,0,0,1.449,,
400090,Mountain Village Homeowner'S Assoc,System,C,40,17,26,0,,0,,0,1.414,0,0,0,0,0,,
400091,Del Oro Water Company - Buzztail Dist.,System,C,70,32,16,0,,0,,0,1.414,0,0,0,0,0,,
400123,Humboldt Highlands Mutual,System,C,50,24,40,0,,,,0,2.106,0,0,0,0,0,,
400149,Humboldt Woodlands Mutual,System,C,75,32,10,0,,0,,0,1.414,0,0,0,0,0,,
400151,Keefer Creek Estates Mutual,System,C,95,56,112,0,,0,,0,18.112,0,0,0,0,0,,
400155,Biggers Glen Mutual Water Co,System,C,10,29,12,3.667,,0,,,1.414,0,0,0,0,0,,
405001,Del Oro Water Co.-Lime Saddle Marina,System,C,1158,351,1,0,,0,,0,1.414,0,0,0,,28,,0.707
409181,Blue Oak Terrace Mutual,System,C,50,16,15,0,,0,,0,1.414,0,0,0,0,0,,
409183,Sierra Moon Subdivision,System,C,38,66,362,0,,0,,0,1.5,0,0,0,0,0,,
410001,City Of Biggs,System,C,1805,650,2440,3.9,,0,,,10.059,0,0,0,0,0,,
410002,Cal-Water Service Co.-Chico,System,C,100435,28249,91949,0,2.103,0,0,0,10.971,0,0.133,0,0,0.177,0,0.707
410003,Durham Irrigation District,System,C,1558,472,785,0,,0,0,0,13.984,0,0,0,0,0,,0.707
410004,City Of Gridley,System,C,6403,2077,6561,9.85,,0,,,9.054,0,0,0,0,0,,0.707
